CH1,CH10
127.045,-0.0312805
127.045,-0.0326538
127.045,-0.0341797
127.014,-0.0335693
127.014,-0.0323486
126.923,-0.0286865
126.801,-0.0260925
126.739,-0.0210571
126.617,-0.017395
126.465,-0.0152588
126.343,-0.01297
126.221,-0.01297
126.16,-0.0125122
126.099,-0.0131226
126.068,-0.0128174
126.099,-0.0125122
125.885,-0.0151062
125.793,-0.0169373
125.702,-0.0177002
125.58,-0.0180054
125.61,-0.0186157
125.58,-0.0175476
125.458,-0.0175476
125.488,-0.0178528
125.519,-0.0177002
125.458,-0.0177002
125.58,-0.0192261
125.671,-0.0215149
125.824,-0.0228882
126.038,-0.0250244
126.099,-0.025177
126.129,-0.0253296
126.312,-0.025177
126.282,-0.0230408
126.312,-0.0212097
126.221,-0.0186157
126.16,-0.0152588
125.916,-0.0114441
125.61,-0.0062561
125.458,-0.00366211
125.214,-0.00305176
125.03,-0.00305176
124.939,-0.00549316
124.786,-0.00732422
124.725,-0.00808716
124.39,-0.00808716
123.535,-0.00778198
122.528,-0.00549316
121.643,0.000762939
120.85,0.00930786
120.117,0.0195312
119.629,0.0317383
119.171,0.0445557
118.805,0.0570679
118.561,0.0663757
118.134,0.0712585
117.401,0.0706482
116.577,0.0654602
115.845,0.0549316
115.173,0.0404358
114.655,0.0245667
114.227,0.00686646
113.922,-0.00961304
113.617,-0.0262451
113.373,-0.0416565
113.22,-0.0541687
112.915,-0.0646973
112.61,-0.0708008
112.305,-0.0740051
112.061,-0.0723267
111.999,-0.0691223
111.816,-0.0627136
111.664,-0.0564575
111.603,-0.0488281
111.45,-0.0392151
111.45,-0.0315857
111.45,-0.0219727
111.359,-0.0119019
111.328,-0.00396729
111.267,0.00320435
111.298,0.00823975
111.298,0.0088501
111.267,0.00701904
111.267,0.00137329
111.206,-0.00579834
111.114,-0.0158691
110.84,-0.0257874
110.413,-0.0354004
110.168,-0.0437927
109.833,-0.0509644
109.68,-0.0544739
109.436,-0.0566101
109.283,-0.0552368
109.192,-0.0527954
109.131,-0.0479126
108.948,-0.0418091
108.643,-0.0346375
108.307,-0.0283813
108.063,-0.0212097
107.758,-0.0137329
107.544,-0.00869751
107.422,-0.00411987
107.269,-0.000762939
107.178,0.00320435
107.086,0.00610352
106.995,0.01297
106.812,0.0198364
106.598,0.0291443
106.506,0.0390625
106.323,0.0505066
106.201,0.0628662
106.171,0.0767517
106.11,0.0912476
106.018,0.106201
105.957,0.120544
105.896,0.132904
105.896,0.141754
105.682,0.145721
105.652,0.145569
105.652,0.144196
105.56,0.141754
105.499,0.137177
105.499,0.131836
105.408,0.126953
105.377,0.122375
105.347,0.119629
105.286,0.116425
105.225,0.113831
105.194,0.111389
105.072,0.107727
105.011,0.104065
104.95,0.0984192
104.95,0.0926208
104.95,0.0857544
104.919,0.0805664
104.828,0.0759888
104.736,0.071106
104.462,0.0672913
104.431,0.0634766
104.309,0.0610352
104.218,0.0587463
104.126,0.0559998
104.095,0.0535583
104.034,0.0511169
104.004,0.0486755
103.912,0.045166
103.668,0.0410461
103.455,0.0370789
103.241,0.032196
103.088,0.0299072
102.905,0.0248718
102.814,0.0213623
102.692,0.0190735
102.631,0.0164795
102.539,0.0149536
102.539,0.01297
102.57,0.00991821
102.6,0.00686646
102.631,0.00289917
102.692,-0.00183105
102.631,-0.00595093
102.753,-0.012207
102.722,-0.020752
102.753,-0.0306702
102.753,-0.0416565
102.844,-0.0540161
102.722,-0.0650024
102.753,-0.0746155
102.661,-0.0842285
102.539,-0.0917053
102.539,-0.0975037
102.539,-0.102386
102.417,-0.105743
102.447,-0.105743
102.447,-0.10376
102.478,-0.0993347
102.356,-0.0942993
102.386,-0.0897217
102.417,-0.0869751
102.386,-0.0845337
102.356,-0.0834656
102.386,-0.0836182
102.356,-0.0862122
102.325,-0.0880432
102.386,-0.088501
102.386,-0.0869751
102.386,-0.0822449
102.356,-0.0743103
102.356,-0.0605774
102.356,-0.0410461
102.386,-0.0177002
102.417,0.00442505
102.264,0.0286865
102.325,0.0471497
102.325,0.0621033
102.356,0.0697327
102.295,0.0704956
102.386,0.0645447
102.295,0.0506592
102.417,0.0331116
102.386,0.0114441
102.356,-0.0131226
102.325,-0.037384
102.356,-0.059967
102.325,-0.0796509
102.295,-0.09552
102.112,-0.108032
101.868,-0.118408
101.776,-0.124969
101.532,-0.129242
101.44,-0.132599
101.257,-0.133057
101.196,-0.133057
101.074,-0.130157
101.044,-0.127869
100.891,-0.125732
100.494,-0.123138
100.006,-0.12146
99.6399,-0.119019
99.3347,-0.116577
98.9685,-0.114136
98.7243,-0.111542
98.5412,-0.108337
98.4192,-0.10437
98.3581,-0.0994873
98.0224,-0.0930786
97.4731,-0.0872803
96.9238,-0.0820923
96.3745,-0.075531
95.8862,-0.0714111
95.52,-0.0675964
95.1233,-0.0643921
94.9097,-0.0616455
94.696,-0.0593567
94.574,-0.057373
94.3298,-0.0552368
93.9941,-0.0546265
93.7805,-0.0544739
93.5669,-0.0521851
93.3838,-0.0518799
93.1701,-0.0502014
93.0481,-0.0492859
92.926,-0.0473022
92.8039,-0.0431824
92.7734,-0.040741
92.7429,-0.0361633
92.6513,-0.0309753
92.6208,-0.0283813
92.5598,-0.025177
92.5903,-0.0253296
92.6208,-0.0248718
92.5598,-0.0256348
92.5598,-0.0289917
92.5293,-0.0340271
92.5293,-0.0404358
91.9494,-0.0498962
90.271,-0.0575256
88.3484,-0.0668335
86.4868,-0.0752258
85.022,-0.0816345
83.7097,-0.0875854
82.6416,-0.0923157
81.8176,-0.0961304
81.1767,-0.0961304
80.6885,-0.0944519
80.2002,-0.0881958
79.8034,-0.0782776
79.6509,-0.0645447
79.4678,-0.0460815
79.3457,-0.0250244
79.1626,0.000610352
79.1015,0.0320435
79.0405,0.0668335
79.01,0.105133
78.9184,0.14679
78.8269,0.191956
78.5827,0.24231
78.3691,0.298157
78.186,0.358276
78.0639,0.42572
77.8808,0.498199
77.6367,0.577087
77.5757,0.664215
77.5451,0.756378
77.4841,0.856934
77.362,0.961609
77.1789,1.07315
77.0569,1.18683
76.9348,1.30051
76.7822,1.41098
76.6907,1.51169
76.5991,1.59851
76.5686,1.66992
76.5076,1.72272
76.5076,1.75415
76.355,1.76208
76.355,1.74469
76.2634,1.70334
76.1719,1.63742
76.1108,1.54617
76.0803,1.43585
75.9888,1.30814
75.9277,1.16898
75.9277,1.02127
75.8667,0.871887
75.8056,0.721741
75.8667,0.574951
75.8056,0.435333
75.9277,0.301819
75.7751,0.179291
75.8362,0.067749
75.7446,-0.0305176
75.8056,-0.114136
75.8056,-0.185547
75.8667,-0.242615
75.7751,-0.288696
75.592,-0.32486
75.3174,-0.353088
75.1953,-0.373535
75.0122,-0.388184
74.8596,-0.397491
74.707,-0.403442
74.646,-0.406799
74.5544,-0.405579
74.5544,-0.403137
74.3103,-0.398102
73.8525,-0.391693
73.3642,-0.384674
72.876,-0.377045
72.5097,-0.367737
72.1435,-0.360107
71.8384,-0.352783
71.6553,-0.344543
71.4416,-0.338135
71.3501,-0.330505
71.2585,-0.324707
71.3196,-0.318298
71.3806,-0.312805
71.4722,-0.307922
71.5027,-0.305023
71.6553,-0.300598
71.6553,-0.297852
71.7468,-0.297089
71.7468,-0.295563
71.7773,-0.294495
71.7163,-0.294647
71.4416,-0.294495
71.228,-0.2948
70.9534,-0.294495
70.7092,-0.294647
70.6177,-0.292206
70.343,-0.292206
70.2514,-0.289612
70.1599,-0.289612
70.1599,-0.287018
69.9158,-0.285492
69.5495,-0.283051
69.0918,-0.280762
68.7256,-0.275879
68.3288,-0.27298
68.0237,-0.268555
67.749,-0.26123
67.5964,-0.256042
67.5049,-0.249786
67.3218,-0.243988
66.9861,-0.2388
66.2231,-0.231781
65.4907,-0.227051
64.7583,-0.222168
64.0564,-0.217133
63.5071,-0.212097
63.0493,-0.209808
62.7441,-0.204773
62.5305,-0.201111
62.2864,-0.197449
62.0422,-0.193939
61.5539,-0.19165
61.1267,-0.187988
60.7605,-0.184937
